,Crew
1082,Oren Koules
1083,Andrea Alseri
1084,Jon Hess
1085,Alex Heineman
1086,Michael Patrick King
1087,Gary Lucchesi
1088,Bruce Willis
1089,Mark Rydell
1090,Ally Gipps
1091,Bill Holderman
1092,Arnold Stiefel
1093,Remington Chase
1094,Todd Komarnicki
1095,Leila Smith
1096,Miri Yoon
1097,Jon Cassar
1098,Michael Leahy
1099,Alberto Marini
1100,Suzanne Weinert
1101,Norton Herrick
1102,Marc Libert
1103,Brent Kunkle
1104,Jack Cummings
1105,John Collee
1106,Amanda Silver
1107,David Hopwood
1108,Leo Pescarolo
1109,Matty Simmons
1110,David Burns
1111,Tony Eldridge
1112,Henry Fonda
1113,Barrie M. Osborne
1114,Stephen Chow
1115,Ian Gamazon
1116,Tabrez Noorani
1117,Léo L. Fuchs
1118,Peter Fruchtman
1119,Theodore Melfi
1120,Thomas Tull
1121,Jim Meenaghan
1122,Doug Claybourne
1123,Mara Brock Akil
1124,Tom Walsh
1125,Marshall Herskovitz
1126,George Roy Hill
1127,Richard Solomon
1128,Katja De Bock
1129,Lee Toland Krieger
1130,Frank Capra
1131,Werner Wirsing
1132,Rob Hawk
1133,Shin Torisawa
1134,Georgia Kacandes
1135,Yoram Globus
1136,Jack Giarraputo
1137,Vittorio Cecchi Gori
1138,Sean Hood
1139,Cassandra Clare
1140,Dean Israelite
1141,Gaurav Dhingra
1142,Peter Merwin
1143,Jamie Travis
1144,Lijun Sun
1145,Charlize Theron
1146,Jim Henson
1147,Lauren Levine
1148,Tim Moore
1149,Peter Herrmann
1150,Braxton Pope
1151,Jake Gyllenhaal
1152,Molly Bernstein
1153,Jonathan Sheldon
1154,Peter Watson
1155,Andrzej Bartkowiak
1156,Jimmy Buffett
1157,Neal H. Moritz
1158,Amy Holden Jones
1159,David Parfitt
1160,Blue Williams
1161,Vincent Tavier
1162,Clay Pecorin
1163,Frank Nissen
1164,Robert Iscove
1165,Carol Fenelon
1166,Sean Faughnan
1167,Shonda Rhimes
1168,Toni Morrison
1169,Tony Puryear
1170,Michael Dryhurst
1171,Stephan Blinn
1172,Adam Green
1173,Bruna Papandrea
1174,	Mak Tin-Shu
1175,Mark Magidson
1176,Bak-Ming Wong
1177,Stanley R. Jaffe
1178,Henry Bean
